site,Group,salinity£¨¡ë£©,Ln salinity (¡ë),Ln DOC (mg/L),TN (mg/L),TP (mg/L£©,WT (¡æ),DO,HIX,a254 (m-1),C1 (R.U.),SS (mg/L),Chl.a (¦Ìg/L),NH4,mcrA£¨copies/mL£©,LnmcrA,phnJ£¨copies/mL£©,LnphnJ,CH4_umol_L,Flux_mmol_m2_d,LnCCH4 (nmol/L),LnFCH4 (umol/m2/d)
ABH1,Saline,43.9,3.782,2.85,2.949,0.074,26.8,5.38 ,0.644,44.258,0.39,42.6,2.009,0.153,257554.3,12.459,1886027.79,14.45,0.004802092,2.00E-05,1.569051656,-3.913333728
ABH2,Saline,28.34,3.344,2.557,2.547,0.074,26.6,7.30 ,0.617,29.816,0.287,72,1.339,0.123,289934.712,12.577,1742693.79,14.371,0.003407164,5.30E-06,1.225880274,-5.23955272
ABH3,Saline,28.3,3.343,2.529,2.434,0.079,26.4,6.07 ,0.602,31.036,0.291,87.8,1.004,0.515,138286.098,11.837,1475967.13,14.205,0.003403789,1.50E-06,1.224889223,-6.500607937
ALK1,Brackish,1.32,0.278,2.703,2.157,0.092,25.5,10.28 ,0.758,40.961,0.507,51,20.925,0.091,288317.695,12.572,1153066.44,13.958,0.038265812,0.00427508,3.64455686,1.452802824
ALK2,Brackish,1.33,0.285,2.414,1.824,0.089,26.1,9.66 ,0.794,39.164,0.497,38,20.088,0.2,422615.992,12.954,898215.22,13.708,0.008285562,0.001860008,2.114514482,0.620581001
ALK3,Brackish,1.33,0.285,2.486,2.256,0.078,26.6,9.31 ,0.788,37.73,0.478,44.5,26.784,0.098,309671.855,12.643,790590.46,13.581,0.01241547,0.001722955,2.518943276,0.54404064
ALK4,Brackish,1.34,0.293,2.519,2.147,0.085,26.8,10.37 ,0.79,33.028,0.415,47,15.903,0.139,284865.143,12.56,776143.24,13.562,0.043865247,0.007456573,3.781122366,2.009095862
AQGKL1,Saline,13.11,2.573,4.26,2.796,0.03,13.2,7.30 ,0.254,4.49,0.008,13.8,1.339,0.175,9638.384,9.174,39243.81,10.578,0.003856642,0.000377731,1.349796857,-0.973573544
AQGKL2,Saline,13.08,2.571,4.248,0.842,0.024,13.4,6.84 ,0.294,5.094,0.01,14.3,0.167,0.144,11623.063,9.361,39828.9,10.592,0.003856261,0.000388046,1.349698061,-0.94663139
AQGKL3,Saline,13.07,2.57,3.831,1.01,0.026,13.3,7.66 ,0.257,4.645,0.007,15,0.167,0.101,9147.226,9.121,28385.25,10.254,0.003856451,0.000382882,1.34974733,-0.960027383
AYKKM1,Saline,28.04,3.334,2.93,2.784,0.03,15,5.92 ,0.38,6.633,0.022,74.8,0.335,0.228,24507.456,10.107,97109.69,11.484,0.00334987,0.000335942,1.208921539,-1.090817927
AYKKM2,Saline,26.96,3.294,2.348,1.185,0.021,13.8,5.88 ,0.412,5.96,0.019,40.3,0.167,0.613,13406.699,9.504,61038.11,11.019,0.003616505,0.000385909,1.28550809,-0.952152671
AYKKM3,Saline,28.02,3.333,3.034,1.045,0.017,15.5,5.73 ,0.452,5.875,0.016,24.2,0.167,0.19,11779.353,9.374,41202.61,10.626,0.003348663,0.000350782,1.208561162,-1.047589188
AYKKM4,Saline,29.34,3.379,2.926,1.01,0.016,15.5,5.43 ,0.425,6.27,0.015,34.8,0.167,0.173,14754.991,9.599,76391.34,11.244,0.003070068,0.00025818,1.121699711,-1.354097353
AYKKM5,Saline,28.95,3.366,2.525,3.245,0.049,15.1,5.35 ,0.434,5.723,0.014,43.5,0.167,0.406,6680.571,8.807,43937.05,10.691,0.00336552,0.000344686,1.213582483,-1.065121717
BLK1,Saline,44.5,3.795,5.468,9.857,0.643,28.4,1.79 ,0.602,228.66,1.155,427,6.25,2.585,1718252.025,14.357,14411129.08,16.484,0.01117169,0.003676205,2.4133829,1.301880902
BLK2,Saline,44.95,3.806,5.104,9.652,0.741,24.8,3.55 ,0.61,229.479,1.162,554.667,11.067,1.58,1333018.536,14.103,11748460.31,16.279,0.008446604,0.001986694,2.133764467,0.686472081
BLK3,Saline,44.7,3.8,5.814,10.975,1.203,27.2,4.43 ,0.53,227.023,1.204,690.4,25.78,4.505,1632376.466,14.306,12401766.64,16.333,0.063952554,0.015308097,4.158141465,2.728381921
BST1,Fresh,0.4,-0.916,2.205,0.011,0.025,23.8,7.17 ,0.558,11.323,0.076,5.3,2.511,0.034,35397.543,10.474,40335.89,10.605,0.29277091,0.201453381,5.679390426,5.305557993
BST4,Fresh,0.48,-0.734,2.803,0.646,0.026,25.1,6.40 ,0.448,11.592,0.056,6,1.674,0.102,22170.387,10.007,3592.4,8.187,0.643222526,0.463577066,6.466490739,6.13897264
BST5,Fresh,0.4,-0.713,2.697,0.896,0.029,24.4,6.61 ,0.333,12.328,0.049,8.5,2.344,0.069,55632.394,10.927,6460.52,8.773,0.301832987,0.211665076,5.709873841,5.355005193
BST7,Fresh,0.47,-1.022,2.47,0.593,0.029,26.1,7.03 ,0.691,16.016,0.153,4.8,2.009,0.067,91245.586,11.421,109359.19,11.602,0.485310397,0.360457723,6.18478868,5.887374675
BST13,Fresh,0.48,-0.734,2.35,1.028,0.026,24.3,6.77 ,0.403,11.945,0.054,5,4.52,0.112,42549.546,10.658,138034.32,11.835,0.499564486,0.350686382,6.213736691,5.859892326
BST14,Fresh,0.48,-0.916,2.622,0.95,0.026,24.2,7.66 ,0.492,11.57,0.066,6.5,3.013,0.092,30773.245,10.334,95571.29,11.468,1.244296615,0.874061432,7.126325681,6.773150662
BST15,Fresh,0.49,-0.755,2.859,0.355,0.02,25.3,6.30 ,0.41,10.764,0.045,10.2,2.846,0.05,44048.922,10.693,22812.8,10.035,0.143446911,0.102294855,4.965965009,4.627859377
BST17,Fresh,0.36,-0.734,2.782,0.773,0.023,25,6.06 ,0.371,12.881,0.056,0.4,2.344,0.179,51924.352,10.858,101197.57,11.525,0.699504473,0.502759641,6.550372189,6.220112205
CWP1,Saline,10.07,2.31,2.924,3.501,0.084,24.8,5.82 ,0.76,72.67,0.732,308,26.366,0.166,77398.787,11.257,56730.51,10.946,0.011421126,0.009832907,2.435464798,2.285734647
CWP2,Saline,11.22,2.418,3.011,4.271,0.156,24.4,6.81 ,0.747,68.185,0.723,471.5,47.849,0.063,125367.91,11.739,120604.45,11.7,0.00877696,0.007154697,2.172130106,1.967769001
